Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
Dignity,restaurant,Restaurang & Snabbmat,Ulvsundavägen,10,59.3351501,17.9687169,Ulvsunda,Bromma
Restaurang Figaro,restaurant,Restaurang & Snabbmat,Per Ekströms Väg,,59.3455873,17.8938441,Södra Ängby,Bromma
Restaurang China House,restaurant,Restaurang & Snabbmat,Bergslagsvägen,264,59.3472311,17.8945147,Södra Ängby,Bromma
Pizzeria Islandstorget,restaurant,Restaurang & Snabbmat,Cederströmsvägen,,59.3466991,17.892908,Södra Ängby,Bromma
Zorba Pizzeria,fast_food,Restaurang & Snabbmat,Bällstavägen,,59.3563838,17.9106348,Bromma kyrka,Bromma
Lomsak thaiwok,fast_food,Restaurang & Snabbmat,Spångavägen,,59.3569646,17.9099118,Eneby,Bromma
Café Blomma,cafe,Kafé,Åkeshovs Gårdsväg,,59.3415549,17.9269697,Åkeshov,Bromma
Waynes coffee,cafe,Kafé,Gårdsfogdevägen,,59.356948,17.956732,Mariehäll,Bromma
Coop Nära Minneberg,supermarket,Matbutik,Svartviks Torg,,59.3393269,17.9894805,Traneberg,Bromma
Abrahamsbergs Sushi,restaurant,Restaurang & Snabbmat,Bävervägen,,59.3361288,17.952701,Abrahamsberg,Bromma
Trafikskola,driving_school,Trafikskola,Linta gårdsväg,,59.3486749,17.9406777,Riksby,Bromma
Thai isaan restaurang,restaurant,Restaurang & Snabbmat,Voltavägen,,59.345016,17.969834,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Köpsvängen,,59.3549796,17.9563841,Mariehäll,Bromma
Lekplats,playground,Lekplats,Emils Gata,,59.3633596,17.9484247,Mariehäll,Bromma
Gäddan,playground,Lekplats,Ronja Rövardotters Stig,,59.3635019,17.9474061,Mariehäll,Bromma
STC,fitness_centre,Gym/Utomhusgym,Annedalsvägen,,59.3651762,17.9496682,Mariehäll,Bromma
MLG Sushi,restaurant,Restaurang & Snabbmat,Pippi Långstrumps Gata,21,59.3640664,17.9465871,Mariehäll,Bromma
Kronans Apotek,pharmacy,Apotek,Vidängsplan,,59.3330529,17.9805444,Alvik,Bromma
Alviks Bibliotek,library,Bibliotek,Gustavslundsvägen,,59.3327618,17.9823693,Alvik,Bromma
Daiichi,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3390231,17.939339,Bromma,Bromma
Joe & The Juice,cafe,Kafé,Gustavslundsvägen,18,59.3325288,17.9830495,Alvik,Bromma
Rasmus grill,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3387764,17.9388636,Bromma,Bromma
Systembolaget,alcohol,Systembolag,Klädesvägen,,59.3388216,17.9399936,Bromma,Bromma
Circle K,fuel,Bensinmack,Alviksskälet,,59.3329833,17.9755326,Alvik,Bromma
Annedals Thai takeaway,restaurant,Restaurang & Snabbmat,Bällstaågatan,12,59.3639396,17.9539292,Mariehäll,Bromma
Max,fast_food,Restaurang & Snabbmat,Ulvsundavägen,,59.3505928,17.95733,Ulvsunda industriområde,Bromma
Melanders Alvik,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,14,59.332443,17.9837094,Alvik,Bromma
Restaurang Tryffel,restaurant,Restaurang & Snabbmat,Porfyrvägen,25,59.3364592,17.9879367,Traneberg,Bromma
Ålstensgatan 15,cafe,Kafé,Ålstensgatan,,59.3236708,17.9569248,Ålsten,Bromma
ICA Nära Annedal,supermarket,Matbutik,Bällstavägen,,59.3610384,17.9490899,Mariehäll,Bromma
SATS Alvik,fitness_centre,Gym/Utomhusgym,Gustavslundsvägen,159,59.3322677,17.9821,Alvik,Bromma
Matleverantören,restaurant,Restaurang & Snabbmat,Ranhammarsvägen,18C,59.3494616,17.9620882,Bromma,Bromma
Hammargrillen,fast_food,Restaurang & Snabbmat,Ranhammarsvägen,16,59.3490816,17.9607815,Bromma,Bromma
Lekplats,playground,Lekplats,Sigrid Undsets gata,,59.3471861,17.8871147,Blackeberg,Bromma
Astrids skafferi,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.341696,17.905837,Norra Ängby,Bromma
Texas Longhorn,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3367003,17.9569973,Ulvsunda,Bromma
Robert E:S Choklad,cafe,Kafé,Grundtvigsgatan,26,59.3467144,17.8845991,Blackeberg,Bromma
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.3450877,17.8874242,Blackeberg,Bromma
Lekplats,playground,Lekplats,Thespisvägen,,59.3267362,17.9339432,Höglandet,Bromma
Ålstensgatan 18 Sushi,restaurant,Restaurang & Snabbmat,Ålstensgatan,18,59.3232346,17.9561914,Ålsten,Bromma
Dr. Fagerberg,doctor,Vårdcentral,Cronströmsvägen,9b,59.3586181,17.9544319,Mariehäll,Bromma
Brödernas,fast_food,Restaurang & Snabbmat,Bergslagsvägen,268,59.347413,17.8939697,Södra Ängby,Bromma
Hemköp Bromma Blackeberg C,supermarket,Matbutik,Wergelandsgatan,3,59.3474912,17.8843764,Blackeberg,Bromma
Blackebergs bibliotek,library,Bibliotek,Wergelandsgatan,,59.3477669,17.8843846,Blackeberg,Bromma
Apotek Hjärtat,pharmacy,Apotek,Vinjegatan,,59.3481204,17.8840425,Blackeberg,Bromma
Inari Sushi,restaurant,Restaurang & Snabbmat,Vinjegatan,,59.3478551,17.883272,Blackeberg,Bromma
Johannesfredsgrillen,fast_food,Restaurang & Snabbmat,Johannesfredsvägen,,59.3437928,17.9700701,Ulvsunda industriområde,Bromma
itrim,fitness_centre,Gym/Utomhusgym,Drottningholmsvägen,,59.3392618,17.9402272,Bromma,Bromma
Brommarondellens Trafikskola,driving_school,Trafikskola,Brommaplan,407,59.3389785,17.9394763,Bromma,Bromma
Garros Bistro,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,159,59.3322143,17.9816828,Alvik,Bromma
Pokeburger,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149E,59.3317992,17.9849072,Alvik,Bromma
Gustafs Matsal & Bar,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149A,59.331474,17.9846622,Alvik,Bromma
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Bällstavägen,28,59.3607139,17.9557816,Mariehäll,Bromma
Bun Meat Bun,restaurant,Restaurang & Snabbmat,Bällstavägen,36,59.3607344,17.9549192,Mariehäll,Bromma
Lekplats,playground,Lekplats,Beckomberga Ängsväg,,59.3557406,17.8991898,Beckomberga,Bromma
Lekplats,playground,Lekplats,Torgnyvägen,,59.3545067,17.8968533,Beckomberga,Bromma
Takumi Sushi & Ramen,restaurant,Restaurang & Snabbmat,Bällstavägen,,59.3606282,17.9497799,Mariehäll,Bromma
Mariehälls Pizzeria,restaurant,Restaurang & Snabbmat,Bällstavägen,53,59.3606924,17.9494125,Mariehäll,Bromma
Miss Goa,restaurant,Restaurang & Snabbmat,Bällstavägen,61,59.3607868,17.9475027,Mariehäll,Bromma
Neko Wok,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.3559663,17.9547679,Mariehäll,Bromma
Wienerkonditoriet,cafe,Kafé,Köpsvängen,,59.3553007,17.9565688,Mariehäll,Bromma
shish lebanse street food,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.3560211,17.9549757,Mariehäll,Bromma
Spisa Husmanskost,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.355981,17.9550336,Mariehäll,Bromma
Joe & The Juice,cafe,Kafé,Köpsvängen,,59.3549986,17.9567167,Mariehäll,Bromma
Nockeby trafikskola,driving_school,Trafikskola,Arkitektvägen,4,59.3342969,17.9512407,Abrahamsberg,Bromma
Blackebergsgrillen,fast_food,Restaurang & Snabbmat,Blackebergsplan,9,59.3477646,17.8837209,Blackeberg,Bromma
Jhonny's,restaurant,Restaurang & Snabbmat,Blackebergsplan,1,59.3473406,17.8833606,Blackeberg,Bromma
Lekplats,playground,Lekplats,Poppelvägen,,59.325213,17.9752862,Äppelviken,Bromma
Lekplats,playground,Lekplats,Blackebergsvägen,,59.3372928,17.9008154,Södra Ängby,Bromma
Bastard Burgers,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,26,59.3328103,17.9821701,Alvik,Bromma
Abrahamsbergs Café,cafe,Kafé,Bävervägen,,59.3354159,17.9520473,Stora mossen,Bromma
Tandläkare Frida Sadeghi,dentist,Tandläkare,Gustav III:s Väg,,59.334076,17.9492416,Abrahamsberg,Bromma
art sushi | sashimi,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3329284,17.9772143,Alvik,Bromma
Georgian House,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.33733,17.9541981,Ulvsunda,Bromma
Friskis & Svettis,fitness_centre,Gym/Utomhusgym,Drottningholmsvägen,,59.3377042,17.9488966,Bromma,Bromma
Mack Ohlson,fuel,Bensinmack,Lusthusbacken,,59.317936,17.9447798,Ålsten,Bromma
Il Bicchiere,restaurant,Restaurang & Snabbmat,Bågvägen,,59.3221809,17.9555082,Ålsten,Bromma
Ålstenstandläkarna,dentist,Tandläkare,Ålstensgatan,,59.3239447,17.9564772,Ålsten,Bromma
Effekt,fitness_centre,Gym/Utomhusgym,Rörläggarvägen,,59.3307953,17.9473003,Abrahamsberg,Bromma
Maxi ICA Stormarknad Bromma,supermarket,Matbutik,Köpsvängen,4,59.3537504,17.9562145,Mariehäll,Bromma
Jarla Trafikskola,driving_school,Trafikskola,Travbanevägen,1,59.3626452,17.9404182,Mariehäll,Bromma
Dizin,restaurant,Restaurang & Snabbmat,Arvid Mörnes väg,4,59.3479568,17.8771682,Blackeberg,Bromma
Olivias krog,restaurant,Restaurang & Snabbmat,Holbergsgatan,,59.346484,17.8818327,Blackeberg,Bromma
Kaskad,cinema,Biograf,Blackebergsplan,3,59.3475522,17.8829427,Blackeberg,Bromma
Sushi Yama,restaurant,Restaurang & Snabbmat,Köpsvängen,34b,59.3536028,17.9570771,Ulvsunda industriområde,Bromma
Espresso House,cafe,Kafé,Köpsvängen,,59.355743,17.9555179,Mariehäll,Bromma
Tasty Sushi,restaurant,Restaurang & Snabbmat,Mariehällsvägen,31,59.3626003,17.9552586,Mariehäll,Bromma
SATS Bromma Blocks,fitness_centre,Gym/Utomhusgym,Köpsvängen,,59.3533955,17.9566347,Mariehäll,Bromma
Bistro Bromma,restaurant,Restaurang & Snabbmat,Spångavägen,138,59.3541217,17.91538,Bromma kyrka,Bromma
Kafé,cafe,Kafé,Ålstens Skogsväg,,59.3152289,17.9661388,Smedslätten,Bromma
Minnies Thai Kitchen (Fiskvagnen),fast_food,Restaurang & Snabbmat,Bryggerivägen,10,59.3492328,17.9662725,Ulvsunda industriområde,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Spångavägen,,59.3612682,17.9047892,Eneby,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Margretelundsvägen,,59.3350183,17.9875133,Traneberg,Bromma
Mille Gusti,restaurant,Restaurang & Snabbmat,Bergslagsvägen,260C,59.3469112,17.8950251,Södra Ängby,Bromma
Il Forno Italiano,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3552831,17.945607,Mariehäll,Bromma
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.355298,17.9458854,Mariehäll,Bromma
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3553061,17.9453096,Mariehäll,Bromma
Wok & Sushi,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3553346,17.9450577,Mariehäll,Bromma
Brödernas,fast_food,Restaurang & Snabbmat,Kamomillagatan,,59.3615294,17.949113,Mariehäll,Bromma
STC,fitness_centre,Gym/Utomhusgym,Bällstavägen,,59.3610575,17.9481887,Mariehäll,Bromma
PWR studio,fitness_centre,Gym/Utomhusgym,Annedalsvägen,,59.3647168,17.9508775,Mariehäll,Bromma
Annedals Tandklinik,dentist,Tandläkare,Alfons Åbergs Gata,,59.3651243,17.9467368,Mariehäll,Bromma
Bromma fysioterapi,physiotherapist,Fysioterapeut,Holbergsgatan,,59.3470447,17.883942,Blackeberg,Bromma
Stc,fitness_centre,Gym/Utomhusgym,Grundtvigsgatan,,59.3470485,17.8848402,Blackeberg,Bromma
Salladsmagasinet Bromma,restaurant,Restaurang & Snabbmat,Follingbogatan,64,59.3582783,17.8994003,Beckomberga,Bromma
Lekplats,playground,Lekplats,Grönviksvägen,,59.3227145,17.9284398,Nockeby,Bromma
Lekplats,playground,Lekplats,Grönviksvägen,,59.3201184,17.9432023,Ålsten,Bromma
PanPan Sushi,restaurant,Restaurang & Snabbmat,Nockeby Torg,,59.3295844,17.9290369,Nockeby,Bromma
Pissamai Thai Food,restaurant,Restaurang & Snabbmat,Björnsonsgatan,,59.3492013,17.8802891,Blackeberg,Bromma
Nano Café,cafe,Kafé,Vinjegatan,,59.3479723,17.8832788,Blackeberg,Bromma
Raanthai Blackeberg,supermarket,Matbutik,Vinjegatan,,59.3480353,17.8841495,Blackeberg,Bromma
Bistro Tarboush,fast_food,Restaurang & Snabbmat,Blackebergsvägen,,59.3459118,17.8929701,Södra Ängby,Bromma
Ängby Tandläkarna,dentist,Tandläkare,Bergslagsvägen,,59.3471271,17.8947734,Södra Ängby,Bromma
Kompir,restaurant,Restaurang & Snabbmat,Långskeppsgatan,5,59.3514662,17.8998872,Beckomberga,Bromma
Maji,restaurant,Restaurang & Snabbmat,Långskeppsgatan,1,59.3512818,17.9002803,Norra Ängby,Bromma
Fotvårds Kliniken,doctor,Vårdcentral,Långskeppsgatan,7,59.3515469,17.8997241,Beckomberga,Bromma
Brommagymnasterna,physiotherapist,Fysioterapeut,Abrahamsbergsvägen,,59.3347889,17.9514352,Abrahamsberg,Bromma
Pizzeria Kaktusen,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3376357,17.9522899,Riksby,Bromma
Medstore,pharmacy,Apotek,Riksbyvägen,,59.3411605,17.9443373,Riksby,Bromma
Polonez Cafe & Deli,cafe,Kafé,Bergslagsvägen,,59.3397115,17.9381491,Bromma,Bromma
Tandläkare,dentist,Tandläkare,Ulvsundavägen,,59.3351158,17.9688271,Ulvsunda,Bromma
PWR GYM,fitness_centre,Gym/Utomhusgym,Tappvägen,,59.3639406,17.9501675,Mariehäll,Bromma
Ruccola,restaurant,Restaurang & Snabbmat,Bällstavägen,,59.3605064,17.9547529,Mariehäll,Bromma
Sushi Dumplings,restaurant,Restaurang & Snabbmat,Emils Gata,,59.3627067,17.9501658,Mariehäll,Bromma
Italgotti,restaurant,Restaurang & Snabbmat,Annedalsvägen,,59.364388,17.9510147,Mariehäll,Bromma
Di Manzo,restaurant,Restaurang & Snabbmat,Alpvägen,,59.3626378,17.9507768,Mariehäll,Bromma
Café Lilla Hörnan,cafe,Kafé,Gårdsfogdevägen,,59.3565575,17.9594494,Mariehäll,Bromma
Damas,restaurant,Restaurang & Snabbmat,Tackjärnsvägen,,59.345331,17.9718496,Ulvsunda industriområde,Bromma
Sweet Chili,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3531098,17.9587026,Ulvsunda industriområde,Bromma
Fotia Kliniken,doctor,Vårdcentral,Gustavslundsvägen,,59.3318908,17.9834316,Alvik,Bromma
Banthai Fastfood,fast_food,Restaurang & Snabbmat,Vidängsvägen,,59.3361589,17.9792137,Traneberg,Bromma
Tandläkare,dentist,Tandläkare,Drottningholmsvägen,,59.3333043,17.9785204,Alvik,Bromma
Deli Molinari,restaurant,Restaurang & Snabbmat,Tranebergsvägen,,59.3350001,17.9795483,Traneberg,Bromma
Munlyckan,dentist,Tandläkare,Gustavslundsvägen,,59.3327994,17.9783979,Alvik,Bromma
You Train,fitness_centre,Gym/Utomhusgym,Storsylsvägen,,59.338091,17.9804192,Traneberg,Bromma
Alviks Grillen,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,166,59.3329242,17.9794225,Alvik,Bromma
Hemma Hos Annika,restaurant,Restaurang & Snabbmat,Dybecksvägen,,59.3474854,17.9004738,Norra Ängby,Bromma
Lekplats,playground,Lekplats,Tapetserarvägen,,59.3302896,17.9454151,Olovslund,Bromma
Lekplats,playground,Lekplats,Johan Tillanders väg,,59.3437051,17.8741436,Blackeberg,Bromma
OKQ8 Bromma Flygplats/Solvalla,fuel,Bensinmack,Cumulusvägen,3,59.3610885,17.9408544,Mariehäll,Bromma
Distriktstandvården Ålsten,dentist,Tandläkare,Ålstensgatan,14,59.3239757,17.9565442,Ålsten,Bromma
Brommatandläkarna,dentist,Tandläkare,Rånövägen,,59.3334499,17.9242,Nockeby,Bromma
Capresi,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3560405,17.9551351,Mariehäll,Bromma
Marolla,restaurant,Restaurang & Snabbmat,Västerledstorget,3,59.329357,17.9681518,Stora mossen,Bromma
Vietsmak,restaurant,Restaurang & Snabbmat,Bällstavägen,205,59.3562527,17.9103006,Bromma kyrka,Bromma
Shell,fuel,Bensinmack,Ulvsundavägen,71,59.340805,17.9611842,Ulvsunda,Bromma
Stora Coop Bromma,supermarket,Matbutik,Ulvsundavägen,189,59.3565785,17.9530154,Mariehäll,Bromma
Willys Stockholm Bromma,supermarket,Matbutik,Ulvsundavägen,189E,59.3570495,17.9505295,Mariehäll,Bromma
OKQ8 Bromma,fuel,Bensinmack,Brommaplan,408,59.3405266,17.940107,Bromma,Bromma
Hemköp Garpes,supermarket,Matbutik,Sobelgränd,4,59.3289709,17.9563616,Stora mossen,Bromma
Grill,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.34216,17.9070437,Norra Ängby,Bromma
Sjöpaviljongen,restaurant,Restaurang & Snabbmat,Tranebergs Strand,4,59.3316151,17.9862842,Traneberg,Bromma
Alviksgrillen,fast_food,Restaurang & Snabbmat,Gustavslundsvägen,,59.332954,17.9793659,Alvik,Bromma
Kalaset Strand,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3281349,17.9848095,Alvik,Bromma
Coop Tranebergsvägen,supermarket,Matbutik,Tranebergsvägen,126,59.3354191,17.9694879,Ulvsunda,Bromma
Lekplats,playground,Lekplats,Tunnlandsvägen,,59.3355526,17.94158,Åkeslund,Bromma
Hemköp Bromma Ängby Torg,supermarket,Matbutik,Ängby torg,1,59.3469686,17.9086154,Norra Ängby,Bromma
Rimiparken,playground,Lekplats,Rastvägen,,59.3290962,17.9120625,Nockebyhov,Bromma
Nockebygrillen,fast_food,Restaurang & Snabbmat,Nockeby Kyrkväg,,59.3291831,17.9277933,Nockeby,Bromma
Lekplatsen Skeden,playground,Lekplats,Åkeshovsvägen,,59.334029,17.9322402,Åkeslund,Bromma
Lekplats,playground,Lekplats,Brålunden,,59.3313191,17.9301361,Nockeby,Bromma
Lekplats,playground,Lekplats,Lillsjövägen,,59.3387368,17.9560295,Ulvsunda,Bromma
Krua Charoen,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3346632,17.9665761,Ulvsunda,Bromma
Kaffekannan,playground,Lekplats,Grimstahamnsvägen,,59.3330794,17.9212214,Nockeby,Bromma
Bensinmack,fuel,Bensinmack,Bergslagsvägen,,59.3462433,17.8940767,Södra Ängby,Bromma
Systembolaget,alcohol,Systembolag,Ulvsundavägen,,59.3562551,17.9544105,Mariehäll,Bromma
Lekplats,playground,Lekplats,Båtparken stig,,59.3395349,17.8971977,Södra Ängby,Bromma
Blackebergs sjukhus,hospital,Sjukhus,Blackebergs Gårdsväg,41,59.3407915,17.880512,Bromma stadsdelsområde,Bromma
Lekplats,playground,Lekplats,Tranebergs Strand,,59.3320825,17.9861251,Traneberg,Bromma
Lekplats,playground,Lekplats,Penselgränd,,59.340241,17.8928267,Södra Ängby,Bromma
Lekplats,playground,Lekplats,Enhörningsgränd,,59.3298094,17.9575759,Stora mossen,Bromma
ICA Supermarket Bromma,supermarket,Matbutik,Spångavägen,172,59.3566441,17.9114325,Bromma kyrka,Bromma
Skogsbo,cafe,Kafé,Ålstens Skogsväg,14,59.3141158,17.9621571,Smedslätten,Bromma
Lekplats,playground,Lekplats,Alviksvägen,,59.3168096,17.9614102,Smedslätten,Bromma
Lekplats,playground,Lekplats,Carl Larssons Väg,,59.3416716,17.8950606,Södra Ängby,Bromma
Bromma Kebab,fast_food,Restaurang & Snabbmat,Köpsvängen,,59.3569646,17.9479992,Mariehäll,Bromma
Lekplats,playground,Lekplats,Bällstavägen,,59.360565,17.948583,Mariehäll,Bromma
Lekplats,playground,Lekplats,Adolfsbergsvägen,,59.358611,17.954015,Mariehäll,Bromma
Blacken,playground,Lekplats,Grundtvigsgatan,,59.3443791,17.8868159,Blackeberg,Bromma
Lekplats,playground,Lekplats,"Åkeshovs eljusspår 1,5 km",,59.3439671,17.9261828,Åkeshov,Bromma
Lekplats,playground,Lekplats,Alpvägen,,59.3627427,17.9536003,Mariehäll,Bromma
Bubbelparken,playground,Lekplats,Linabergsstigen,,59.3620025,17.9535551,Mariehäll,Bromma
Kratsbodaparken,playground,Lekplats,Kratsbodavägen,,59.3593326,17.9551604,Mariehäll,Bromma
Lekplats,playground,Lekplats,Fältmarskalksvägen,,59.3385488,17.9623984,Ulvsunda,Bromma
Flintsågen,playground,Lekplats,Egilsvägen,,59.3453476,17.9154268,Norra Ängby,Bromma
Lekplats,playground,Lekplats,Plommonvägen,,59.3600995,17.917102,Eneby,Bromma
Halstret,playground,Lekplats,Anundsvägen,,59.3526779,17.8912414,Beckomberga,Bromma
Circle K Råcksta,fuel,Bensinmack,Råckstavägen,2,59.3517426,17.8866268,Råcksta,Bromma
CNG Bromma,fuel,Bensinmack,Drottningholmsvägen,490,59.3377949,17.9343005,Bromma,Bromma
Lekplats,playground,Lekplats,Kyrkoherdevägen,,59.3580854,17.9122928,Eneby,Bromma
Lekplats,playground,Lekplats,Västerledstorget,,59.3291833,17.9686729,Stora mossen,Bromma
Lekplats,playground,Lekplats,Norlindsvägen,,59.3550133,17.9148699,Bromma kyrka,Bromma
Lekplats,playground,Lekplats,Spångavägen,,59.3548906,17.9146004,Bromma kyrka,Bromma
Lekplats,playground,Lekplats,Terserusvägen,,59.3551456,17.9152635,Bromma kyrka,Bromma
Lekplats,playground,Lekplats,Plåtslagarvägen,,59.3361083,17.9512623,Abrahamsberg,Bromma
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658062,17.9319645,Bällsta,Bromma
