namn,kategori,gata,lat,lon,stadsdel,stadsdelsomrade
Svandammsgården,förskola,Cedergrensvägen 5–7,59.3018124,18.000362,Midsommarkransen,Hägersten-Älvsjö
Svanens förskola vid Telefonplan,förskola,Flygelgatan 1,59.2983557,18.0008673,Västberga,Hägersten-Älvsjö
Sylvester,förskola,Sylvestergatan 2–6,59.2852172,18.0306373,Älvsjö,Hägersten-Älvsjö
Tellusbarn Pusslet,förskola,Mockasinvägen 24,59.2836864,18.0156527,Solberga,Hägersten-Älvsjö
Toppen,förskola,Persmässgränd 16,59.2956123,17.956764,Mälarhöjden,Hägersten-Älvsjö
Torngårdens Waldorfförskola,förskola,Drachmannsgatan 3,59.345625,17.8883724,Blackeberg,Bromma
"Treklövern, Stamgatan 2 A",förskola,Stamgatan 2 A,59.2840519,18.0413923,Östberga,
Trollsländan,förskola,Sulvägen 22,59.2864905,18.004748,Solberga,Hägersten-Älvsjö
Tryggis,förskola,Doktor Abrahams väg 29,59.3602436,17.912345,Eneby,Bromma
Vasan,förskola,Vasaloppsvägen 110,59.2922218,17.9611069,Västertorp,Hägersten-Älvsjö
"Vi som växer, Förskolan Vansö",förskola,Vansövägen 4,59.2732527,18.034312,Älvsjö,Hägersten-Älvsjö
Viveln,förskola,Vivelvägen 40,59.2777684,17.9906706,Älvsjö,Hägersten-Älvsjö
Vågavilja,förskola,Gårdstigen 1,59.2661402,17.974448,Långsjö,Hägersten-Älvsjö
Ålstens Montessoriförskola,förskola,Bågvägen 42,59.3188933,17.9519888,Ålsten,Bromma
Åsen,förskola,Sedelvägen 2B,59.297199,17.985313,Hägerstensåsen,Hägersten-Älvsjö
Älvens Förskola,förskola,Älvsjö gårdsväg 3–9,59.2769127,18.0113096,Liseberg,Hägersten-Älvsjö
Älvsjö förskola,förskola,Långbrodalsvägen 1,59.2795055,18.0021474,Liseberg,Hägersten-Älvsjö
Älvsjöbarnen,förskola,Murgrönsvägen 17,59.2767256,17.9679808,Älvsjö,Hägersten-Älvsjö
Älvskogen,förskola,Långsjövägen 33,59.2742031,17.9974537,Långsjö,Hägersten-Älvsjö
Ängbygården – Ängbybarnens förskolor,förskola,Vultejusvägen 63–67,59.3437417,17.9088371,Norra Ängby,Bromma
Äppelängen,förskola,Täckhammarsvägen 21,59.2816742,18.0355227,Östberga,
"Preem - Stockholm,Islandstorget",Bensinmack,Bergslagsvägen,59.3463943,17.8938708,Södra Ängby,Bromma
Nockeby Pizzeria,Restaurang & Snabbmat,Skaldevägen,59.3294442,17.928936,Nockeby,Bromma
al Caminetto,Restaurang & Snabbmat,Gustavslundsvägen,59.3328927,17.9774152,Alvik,Bromma
ICA Nära Abrahamsberg,Matbutik,Abrahamsbergsvägen,59.3361456,17.9518695,Bromma,Bromma
Sorbon,Restaurang & Snabbmat,Drottningholmsvägen,59.3399236,17.9405182,Bromma,Bromma
ICA Supermarket Alviks Torg,Matbutik,Drottningholmsvägen,59.3327076,17.9829618,Traneberg,Bromma
ICA Supermarket,Matbutik,Tunnlandet,59.3380314,17.9383011,Åkeslund,Bromma
ICA HM:s Livs,Matbutik,Bergviksvägen,59.3232066,17.9567889,Ålsten,Bromma
Coop Engströms Livs,Matbutik,Nockeby Torg,59.3288554,17.9286351,Bromma,Bromma
Apotek Hjärtat,Apotek,Nockeby Torg,59.3290947,17.9287271,Bromma,Bromma
Nockeby bageri,Kafé,Nockeby Torg,59.3289102,17.9279354,Nockeby,Bromma
ICA Nära Smelivs,Matbutik,Sunnerdahlsplan,59.3209746,17.9724739,Smedslätten,Bromma
Park Konditori,Kafé,Västerled,59.3290661,17.9733633,Äppelviken,Bromma
McDonald's,Restaurang & Snabbmat,Tunnlandet,59.3386853,17.938783,Bromma,Bromma
Caffè Nero,Kafé,Gustavslundsvägen,59.332752,17.9816507,Alvik,Bromma
Vedugnen i Alvik,Restaurang & Snabbmat,Ryggåsgatan,59.3321012,17.9744164,Alvik,Bromma
Ålstens Pizzeria,Restaurang & Snabbmat,Ålstensgatan,59.3226193,17.9564095,Ålsten,Bromma
Gateau,Kafé,Ålstensgatan,59.3223291,17.9556424,Ålsten,Bromma
Apoteket,Apotek,Vidängsvägen,59.3350061,17.9780238,Alvik,Bromma
Kullens,Restaurang & Snabbmat,Vidängsvägen,59.335329,17.9795122,Traneberg,Bromma
Stammisstället,Restaurang & Snabbmat,Ängby torg,59.3473014,17.9079113,Norra Ängby,Bromma
Björklunds hage,Lekplats,Runforskarvägen,59.3484479,17.9014054,Norra Ängby,Bromma
East Ocean,Restaurang & Snabbmat,Tunnlandet,59.3391073,17.9388025,Bromma,Bromma
Resturang Bryggan,Restaurang & Snabbmat,Lusthusbacken,59.317994,17.9447759,Ålsten,Bromma
La Rustica,Kafé,Långskeppsgatan,59.3513794,17.9000021,Beckomberga,Bromma
Torghörnan,Kafé,Ängby torg,59.3468849,17.9085116,Norra Ängby,Bromma
Kronans Apotek,Apotek,Ulvsundavägen,59.3565847,17.9519799,Mariehäll,Bromma
Shiva,Restaurang & Snabbmat,Dalgången,59.3311297,17.9112186,Nockebyhov,Bromma
Brommaplans Bibliotek,Bibliotek,Klädesvägen,59.3387884,17.9401533,Bromma,Bromma
Sushi Bar Kirin,Restaurang & Snabbmat,Knypplerskevägen,59.3392166,17.9378171,Bromma,Bromma
Bromma Thai,Restaurang & Snabbmat,Rånövägen,59.3333107,17.9244454,Nockeby,Bromma
Sofie's,Restaurang & Snabbmat,Hemslöjdsvägen,59.3379176,17.953079,Ulvsunda,Bromma
Brommaplans Grillen,Restaurang & Snabbmat,Kvarnbacksvägen,59.3423027,17.9501741,Bromma,Bromma
Gateau,Kafé,Färjestadsvägen,59.3418988,17.905965,Norra Ängby,Bromma
Ängby Sushi & Thai,Restaurang & Snabbmat,Färjestadsvägen,59.341486,17.9055784,Norra Ängby,Bromma
Oh! Delhi,Restaurang & Snabbmat,Kvarnbacksvägen,59.3401238,17.9409471,Bromma,Bromma
Bromma Pizzeria,Restaurang & Snabbmat,Klädesvägen,59.3387354,17.9407566,Bromma,Bromma
Appetito,Restaurang & Snabbmat,Västerled,59.3288385,17.938666,Olovslund,Bromma
Brasserie Maison,Restaurang & Snabbmat,Rörläggarvägen,59.3308229,17.9466098,Abrahamsberg,Bromma
Coop Brommaplan,Matbutik,Klädesvägen,59.3385721,17.9394968,Bromma,Bromma
Apoteket,Apotek,Klädesvägen,59.3388684,17.9396897,Bromma,Bromma
Pizzeria La Bella,Restaurang & Snabbmat,Gustav III:s Väg,59.3339835,17.9477962,Abrahamsberg,Bromma
Tropical Wok & Sushi,Restaurang & Snabbmat,Gustav III:s Väg,59.3340656,17.9480429,Abrahamsberg,Bromma
Kanazawa Sushi Bar,Restaurang & Snabbmat,Ulvsundavägen,59.3350797,17.9690771,Ulvsunda,Bromma
Drottningholms Pizzeria,Restaurang & Snabbmat,Rånövägen,59.3333467,17.924382,Nockeby,Bromma
Pizzeria Tranan,Restaurang & Snabbmat,Tranebergsvägen,59.3355624,17.978447,Traneberg,Bromma
Dignity,Restaurang & Snabbmat,Ulvsundavägen,59.3351501,17.9687169,Ulvsunda,Bromma
Restaurang Figaro,Restaurang & Snabbmat,Per Ekströms Väg,59.3455873,17.8938441,Södra Ängby,Bromma
Restaurang China House,Restaurang & Snabbmat,Bergslagsvägen,59.3472311,17.8945147,Södra Ängby,Bromma
Pizzeria Islandstorget,Restaurang & Snabbmat,Cederströmsvägen,59.3466991,17.892908,Södra Ängby,Bromma
Zorba Pizzeria,Restaurang & Snabbmat,Bällstavägen,59.3563838,17.9106348,Bromma kyrka,Bromma
Lomsak thaiwok,Restaurang & Snabbmat,Spångavägen,59.3569646,17.9099118,Eneby,Bromma
Café Blomma,Kafé,Åkeshovs Gårdsväg,59.3415549,17.9269697,Åkeshov,Bromma
Waynes coffee,Kafé,Gårdsfogdevägen,59.356948,17.956732,Mariehäll,Bromma
Coop Nära Minneberg,Matbutik,Svartviks Torg,59.3393269,17.9894805,Traneberg,Bromma
Abrahamsbergs Sushi,Restaurang & Snabbmat,Bävervägen,59.3361288,17.952701,Abrahamsberg,Bromma
Trafikskola,Trafikskola,Linta gårdsväg,59.3486749,17.9406777,Riksby,Bromma
Thai isaan restaurang,Restaurang & Snabbmat,Voltavägen,59.345016,17.969834,Ulvsunda industriområde,Bromma
Lekplats,Lekplats,Köpsvängen,59.3549796,17.9563841,Mariehäll,Bromma
Lekplats,Lekplats,Emils Gata,59.3633596,17.9484247,Mariehäll,Bromma
Gäddan,Lekplats,Ronja Rövardotters Stig,59.3635019,17.9474061,Mariehäll,Bromma
STC,Gym/Utomhusgym,Annedalsvägen,59.3651762,17.9496682,Mariehäll,Bromma
MLG Sushi,Restaurang & Snabbmat,Pippi Långstrumps Gata,59.3640664,17.9465871,Mariehäll,Bromma
Kronans Apotek,Apotek,Vidängsplan,59.3330529,17.9805444,Alvik,Bromma
Alviks Bibliotek,Bibliotek,Gustavslundsvägen,59.3327618,17.9823693,Alvik,Bromma
Daiichi,Restaurang & Snabbmat,Tunnlandet,59.3390231,17.939339,Bromma,Bromma
Joe & The Juice,Kafé,Gustavslundsvägen,59.3325288,17.9830495,Alvik,Bromma
Rasmus grill,Restaurang & Snabbmat,Tunnlandet,59.3387764,17.9388636,Bromma,Bromma
Systembolaget,Systembolag,Klädesvägen,59.3388216,17.9399936,Bromma,Bromma
Circle K,Bensinmack,Alviksskälet,59.3329833,17.9755326,Alvik,Bromma
Annedals Thai takeaway,Restaurang & Snabbmat,Bällstaågatan,59.3639396,17.9539292,Mariehäll,Bromma
Max,Restaurang & Snabbmat,Ulvsundavägen,59.3505928,17.95733,Ulvsunda industriområde,Bromma
Melanders Alvik,Restaurang & Snabbmat,Gustavslundsvägen,59.332443,17.9837094,Alvik,Bromma
Restaurang Tryffel,Restaurang & Snabbmat,Porfyrvägen,59.3364592,17.9879367,Traneberg,Bromma
Ålstensgatan 15,Kafé,Ålstensgatan,59.3236708,17.9569248,Ålsten,Bromma
ICA Nära Annedal,Matbutik,Bällstavägen,59.3610384,17.9490899,Mariehäll,Bromma
SATS Alvik,Gym/Utomhusgym,Gustavslundsvägen,59.3322677,17.9821,Alvik,Bromma
Matleverantören,Restaurang & Snabbmat,Ranhammarsvägen,59.3494616,17.9620882,Bromma,Bromma
Hammargrillen,Restaurang & Snabbmat,Ranhammarsvägen,59.3490816,17.9607815,Bromma,Bromma
Lekplats,Lekplats,Sigrid Undsets gata,59.3471861,17.8871147,Blackeberg,Bromma
Astrids skafferi,Restaurang & Snabbmat,Färjestadsvägen,59.341696,17.905837,Norra Ängby,Bromma
Texas Longhorn,Restaurang & Snabbmat,Drottningholmsvägen,59.3367003,17.9569973,Ulvsunda,Bromma
Robert E:S Choklad,Kafé,Grundtvigsgatan,59.3467144,17.8845991,Blackeberg,Bromma
Lekplats,Lekplats,Grundtvigsgatan,59.3450877,17.8874242,Blackeberg,Bromma
Lekplats,Lekplats,Thespisvägen,59.3267362,17.9339432,Höglandet,Bromma
Ålstensgatan 18 Sushi,Restaurang & Snabbmat,Ålstensgatan,59.3232346,17.9561914,Ålsten,Bromma
Dr. Fagerberg,Vårdcentral,Cronströmsvägen,59.3586181,17.9544319,Mariehäll,Bromma
Brödernas,Restaurang & Snabbmat,Bergslagsvägen,59.347413,17.8939697,Södra Ängby,Bromma
Hemköp Bromma Blackeberg C,Matbutik,Wergelandsgatan,59.3474912,17.8843764,Blackeberg,Bromma
Blackebergs bibliotek,Bibliotek,Wergelandsgatan,59.3477669,17.8843846,Blackeberg,Bromma
Apotek Hjärtat,Apotek,Vinjegatan,59.3481204,17.8840425,Blackeberg,Bromma
Inari Sushi,Restaurang & Snabbmat,Vinjegatan,59.3478551,17.883272,Blackeberg,Bromma
Johannesfredsgrillen,Restaurang & Snabbmat,Johannesfredsvägen,59.3437928,17.9700701,Ulvsunda industriområde,Bromma
itrim,Gym/Utomhusgym,Drottningholmsvägen,59.3392618,17.9402272,Bromma,Bromma
Brommarondellens Trafikskola,Trafikskola,Brommaplan,59.3389785,17.9394763,Bromma,Bromma
Garros Bistro,Restaurang & Snabbmat,Gustavslundsvägen,59.3322143,17.9816828,Alvik,Bromma
Pokeburger,Restaurang & Snabbmat,Gustavslundsvägen,59.3317992,17.9849072,Alvik,Bromma
Gustafs Matsal & Bar,Restaurang & Snabbmat,Gustavslundsvägen,59.331474,17.9846622,Alvik,Bromma
Fitness24Seven,Gym/Utomhusgym,Bällstavägen,59.3607139,17.9557816,Mariehäll,Bromma
Bun Meat Bun,Restaurang & Snabbmat,Bällstavägen,59.3607344,17.9549192,Mariehäll,Bromma
Lekplats,Lekplats,Beckomberga Ängsväg,59.3557406,17.8991898,Beckomberga,Bromma
Lekplats,Lekplats,Torgnyvägen,59.3545067,17.8968533,Beckomberga,Bromma
Takumi Sushi & Ramen,Restaurang & Snabbmat,Bällstavägen,59.3606282,17.9497799,Mariehäll,Bromma
Mariehälls Pizzeria,Restaurang & Snabbmat,Bällstavägen,59.3606924,17.9494125,Mariehäll,Bromma
Miss Goa,Restaurang & Snabbmat,Bällstavägen,59.3607868,17.9475027,Mariehäll,Bromma
Neko Wok,Restaurang & Snabbmat,Köpsvängen,59.3559663,17.9547679,Mariehäll,Bromma
Wienerkonditoriet,Kafé,Köpsvängen,59.3553007,17.9565688,Mariehäll,Bromma
shish lebanse street food,Restaurang & Snabbmat,Köpsvängen,59.3560211,17.9549757,Mariehäll,Bromma
Spisa Husmanskost,Restaurang & Snabbmat,Köpsvängen,59.355981,17.9550336,Mariehäll,Bromma
Joe & The Juice,Kafé,Köpsvängen,59.3549986,17.9567167,Mariehäll,Bromma
Nockeby trafikskola,Trafikskola,Arkitektvägen,59.3342969,17.9512407,Abrahamsberg,Bromma
Blackebergsgrillen,Restaurang & Snabbmat,Blackebergsplan,59.3477646,17.8837209,Blackeberg,Bromma
Jhonny's,Restaurang & Snabbmat,Blackebergsplan,59.3473406,17.8833606,Blackeberg,Bromma
Lekplats,Lekplats,Poppelvägen,59.325213,17.9752862,Äppelviken,Bromma
Lekplats,Lekplats,Blackebergsvägen,59.3372928,17.9008154,Södra Ängby,Bromma
Bastard Burgers,Restaurang & Snabbmat,Gustavslundsvägen,59.3328103,17.9821701,Alvik,Bromma
Abrahamsbergs Café,Kafé,Bävervägen,59.3354159,17.9520473,Stora mossen,Bromma
Tandläkare Frida Sadeghi,Tandläkare,Gustav III:s Väg,59.334076,17.9492416,Abrahamsberg,Bromma
art sushi | sashimi,Restaurang & Snabbmat,Gustavslundsvägen,59.3329284,17.9772143,Alvik,Bromma
Georgian House,Restaurang & Snabbmat,Drottningholmsvägen,59.33733,17.9541981,Ulvsunda,Bromma
Friskis & Svettis,Gym/Utomhusgym,Drottningholmsvägen,59.3377042,17.9488966,Bromma,Bromma
Mack Ohlson,Bensinmack,Lusthusbacken,59.317936,17.9447798,Ålsten,Bromma
Il Bicchiere,Restaurang & Snabbmat,Bågvägen,59.3221809,17.9555082,Ålsten,Bromma
Ålstenstandläkarna,Tandläkare,Ålstensgatan,59.3239447,17.9564772,Ålsten,Bromma
Effekt,Gym/Utomhusgym,Rörläggarvägen,59.3307953,17.9473003,Abrahamsberg,Bromma
Maxi ICA Stormarknad Bromma,Matbutik,Köpsvängen,59.3537504,17.9562145,Mariehäll,Bromma
Jarla Trafikskola,Trafikskola,Travbanevägen,59.3626452,17.9404182,Mariehäll,Bromma
Dizin,Restaurang & Snabbmat,Arvid Mörnes väg,59.3479568,17.8771682,Blackeberg,Bromma
Olivias krog,Restaurang & Snabbmat,Holbergsgatan,59.346484,17.8818327,Blackeberg,Bromma
Kaskad,Biograf,Blackebergsplan,59.3475522,17.8829427,Blackeberg,Bromma
Sushi Yama,Restaurang & Snabbmat,Köpsvängen,59.3536028,17.9570771,Ulvsunda industriområde,Bromma
Espresso House,Kafé,Köpsvängen,59.355743,17.9555179,Mariehäll,Bromma
Tasty Sushi,Restaurang & Snabbmat,Mariehällsvägen,59.3626003,17.9552586,Mariehäll,Bromma
SATS Bromma Blocks,Gym/Utomhusgym,Köpsvängen,59.3533955,17.9566347,Mariehäll,Bromma
Bistro Bromma,Restaurang & Snabbmat,Spångavägen,59.3541217,17.91538,Bromma kyrka,Bromma
Kafé,Kafé,Ålstens Skogsväg,59.3152289,17.9661388,Smedslätten,Bromma
Minnies Thai Kitchen (Fiskvagnen),Restaurang & Snabbmat,Bryggerivägen,59.3492328,17.9662725,Ulvsunda industriområde,Bromma
Gym/Utomhusgym,Gym/Utomhusgym,Spångavägen,59.3612682,17.9047892,Eneby,Bromma
Gym/Utomhusgym,Gym/Utomhusgym,Margretelundsvägen,59.3350183,17.9875133,Traneberg,Bromma
Mille Gusti,Restaurang & Snabbmat,Bergslagsvägen,59.3469112,17.8950251,Södra Ängby,Bromma
Il Forno Italiano,Restaurang & Snabbmat,Flygplatsinfarten,59.3552831,17.945607,Mariehäll,Bromma
Restaurang & Snabbmat,Restaurang & Snabbmat,Flygplatsinfarten,59.355298,17.9458854,Mariehäll,Bromma
Restaurang & Snabbmat,Restaurang & Snabbmat,Flygplatsinfarten,59.3553061,17.9453096,Mariehäll,Bromma
Wok & Sushi,Restaurang & Snabbmat,Flygplatsinfarten,59.3553346,17.9450577,Mariehäll,Bromma
Brödernas,Restaurang & Snabbmat,Kamomillagatan,59.3615294,17.949113,Mariehäll,Bromma
STC,Gym/Utomhusgym,Bällstavägen,59.3610575,17.9481887,Mariehäll,Bromma
PWR studio,Gym/Utomhusgym,Annedalsvägen,59.3647168,17.9508775,Mariehäll,Bromma
Annedals Tandklinik,Tandläkare,Alfons Åbergs Gata,59.3651243,17.9467368,Mariehäll,Bromma
Bromma fysioterapi,Fysioterapeut,Holbergsgatan,59.3470447,17.883942,Blackeberg,Bromma
Stc,Gym/Utomhusgym,Grundtvigsgatan,59.3470485,17.8848402,Blackeberg,Bromma
Salladsmagasinet Bromma,Restaurang & Snabbmat,Follingbogatan,59.3582783,17.8994003,Beckomberga,Bromma
Lekplats,Lekplats,Grönviksvägen,59.3227145,17.9284398,Nockeby,Bromma
Lekplats,Lekplats,Grönviksvägen,59.3201184,17.9432023,Ålsten,Bromma
PanPan Sushi,Restaurang & Snabbmat,Nockeby Torg,59.3295844,17.9290369,Nockeby,Bromma
Pissamai Thai Food,Restaurang & Snabbmat,Björnsonsgatan,59.3492013,17.8802891,Blackeberg,Bromma
Nano Café,Kafé,Vinjegatan,59.3479723,17.8832788,Blackeberg,Bromma
Raanthai Blackeberg,Matbutik,Vinjegatan,59.3480353,17.8841495,Blackeberg,Bromma
Bistro Tarboush,Restaurang & Snabbmat,Blackebergsvägen,59.3459118,17.8929701,Södra Ängby,Bromma
Ängby Tandläkarna,Tandläkare,Bergslagsvägen,59.3471271,17.8947734,Södra Ängby,Bromma
Kompir,Restaurang & Snabbmat,Långskeppsgatan,59.3514662,17.8998872,Beckomberga,Bromma
Maji,Restaurang & Snabbmat,Långskeppsgatan,59.3512818,17.9002803,Norra Ängby,Bromma
Fotvårds Kliniken,Vårdcentral,Långskeppsgatan,59.3515469,17.8997241,Beckomberga,Bromma
Brommagymnasterna,Fysioterapeut,Abrahamsbergsvägen,59.3347889,17.9514352,Abrahamsberg,Bromma
Pizzeria Kaktusen,Restaurang & Snabbmat,Drottningholmsvägen,59.3376357,17.9522899,Riksby,Bromma
Medstore,Apotek,Riksbyvägen,59.3411605,17.9443373,Riksby,Bromma
Polonez Cafe & Deli,Kafé,Bergslagsvägen,59.3397115,17.9381491,Bromma,Bromma
Tandläkare,Tandläkare,Ulvsundavägen,59.3351158,17.9688271,Ulvsunda,Bromma
PWR GYM,Gym/Utomhusgym,Tappvägen,59.3639406,17.9501675,Mariehäll,Bromma
Ruccola,Restaurang & Snabbmat,Bällstavägen,59.3605064,17.9547529,Mariehäll,Bromma
Sushi Dumplings,Restaurang & Snabbmat,Emils Gata,59.3627067,17.9501658,Mariehäll,Bromma
Italgotti,Restaurang & Snabbmat,Annedalsvägen,59.364388,17.9510147,Mariehäll,Bromma
Di Manzo,Restaurang & Snabbmat,Alpvägen,59.3626378,17.9507768,Mariehäll,Bromma
Café Lilla Hörnan,Kafé,Gårdsfogdevägen,59.3565575,17.9594494,Mariehäll,Bromma
Damas,Restaurang & Snabbmat,Tackjärnsvägen,59.345331,17.9718496,Ulvsunda industriområde,Bromma
Sweet Chili,Restaurang & Snabbmat,Ulvsundavägen,59.3531098,17.9587026,Ulvsunda industriområde,Bromma
Fotia Kliniken,Vårdcentral,Gustavslundsvägen,59.3318908,17.9834316,Alvik,Bromma
Banthai Fastfood,Restaurang & Snabbmat,Vidängsvägen,59.3361589,17.9792137,Traneberg,Bromma
Tandläkare,Tandläkare,Drottningholmsvägen,59.3333043,17.9785204,Alvik,Bromma
Deli Molinari,Restaurang & Snabbmat,Tranebergsvägen,59.3350001,17.9795483,Traneberg,Bromma
Munlyckan,Tandläkare,Gustavslundsvägen,59.3327994,17.9783979,Alvik,Bromma
You Train,Gym/Utomhusgym,Storsylsvägen,59.338091,17.9804192,Traneberg,Bromma
Alviks Grillen,Restaurang & Snabbmat,Gustavslundsvägen,59.3329242,17.9794225,Alvik,Bromma
Hemma Hos Annika,Restaurang & Snabbmat,Dybecksvägen,59.3474854,17.9004738,Norra Ängby,Bromma
Lekplats,Lekplats,Tapetserarvägen,59.3302896,17.9454151,Olovslund,Bromma
Lekplats,Lekplats,Johan Tillanders väg,59.3437051,17.8741436,Blackeberg,Bromma
OKQ8 Bromma Flygplats/Solvalla,Bensinmack,Cumulusvägen,59.3610885,17.9408544,Mariehäll,Bromma
Distriktstandvården Ålsten,Tandläkare,Ålstensgatan,59.3239757,17.9565442,Ålsten,Bromma
Brommatandläkarna,Tandläkare,Rånövägen,59.3334499,17.9242,Nockeby,Bromma
Capresi,Restaurang & Snabbmat,Ulvsundavägen,59.3560405,17.9551351,Mariehäll,Bromma
Marolla,Restaurang & Snabbmat,Västerledstorget,59.329357,17.9681518,Stora mossen,Bromma
Vietsmak,Restaurang & Snabbmat,Bällstavägen,59.3562527,17.9103006,Bromma kyrka,Bromma
Shell,Bensinmack,Ulvsundavägen,59.340805,17.9611842,Ulvsunda,Bromma
Stora Coop Bromma,Matbutik,Ulvsundavägen,59.3565785,17.9530154,Mariehäll,Bromma
Willys Stockholm Bromma,Matbutik,Ulvsundavägen,59.3570495,17.9505295,Mariehäll,Bromma
OKQ8 Bromma,Bensinmack,Brommaplan,59.3405266,17.940107,Bromma,Bromma
Hemköp Garpes,Matbutik,Sobelgränd,59.3289709,17.9563616,Stora mossen,Bromma
Grill,Restaurang & Snabbmat,Färjestadsvägen,59.34216,17.9070437,Norra Ängby,Bromma
Sjöpaviljongen,Restaurang & Snabbmat,Tranebergs Strand,59.3316151,17.9862842,Traneberg,Bromma
Alviksgrillen,Restaurang & Snabbmat,Gustavslundsvägen,59.332954,17.9793659,Alvik,Bromma
Kalaset Strand,Restaurang & Snabbmat,Gustavslundsvägen,59.3281349,17.9848095,Alvik,Bromma
Coop Tranebergsvägen,Matbutik,Tranebergsvägen,59.3354191,17.9694879,Ulvsunda,Bromma
Lekplats,Lekplats,Tunnlandsvägen,59.3355526,17.94158,Åkeslund,Bromma
Hemköp Bromma Ängby Torg,Matbutik,Ängby torg,59.3469686,17.9086154,Norra Ängby,Bromma
Rimiparken,Lekplats,Rastvägen,59.3290962,17.9120625,Nockebyhov,Bromma
Nockebygrillen,Restaurang & Snabbmat,Nockeby Kyrkväg,59.3291831,17.9277933,Nockeby,Bromma
Lekplatsen Skeden,Lekplats,Åkeshovsvägen,59.334029,17.9322402,Åkeslund,Bromma
Lekplats,Lekplats,Brålunden,59.3313191,17.9301361,Nockeby,Bromma
Lekplats,Lekplats,Lillsjövägen,59.3387368,17.9560295,Ulvsunda,Bromma
Krua Charoen,Restaurang & Snabbmat,Drottningholmsvägen,59.3346632,17.9665761,Ulvsunda,Bromma
Kaffekannan,Lekplats,Grimstahamnsvägen,59.3330794,17.9212214,Nockeby,Bromma
Bensinmack,Bensinmack,Bergslagsvägen,59.3462433,17.8940767,Södra Ängby,Bromma
Systembolaget,Systembolag,Ulvsundavägen,59.3562551,17.9544105,Mariehäll,Bromma
Lekplats,Lekplats,Båtparken stig,59.3395349,17.8971977,Södra Ängby,Bromma
Blackebergs sjukhus,Sjukhus,Blackebergs Gårdsväg,59.3407915,17.880512,Bromma stadsdelsområde,Bromma
Lekplats,Lekplats,Tranebergs Strand,59.3320825,17.9861251,Traneberg,Bromma
Lekplats,Lekplats,Penselgränd,59.340241,17.8928267,Södra Ängby,Bromma
Lekplats,Lekplats,Enhörningsgränd,59.3298094,17.9575759,Stora mossen,Bromma
ICA Supermarket Bromma,Matbutik,Spångavägen,59.3566441,17.9114325,Bromma kyrka,Bromma
Skogsbo,Kafé,Ålstens Skogsväg,59.3141158,17.9621571,Smedslätten,Bromma
Lekplats,Lekplats,Alviksvägen,59.3168096,17.9614102,Smedslätten,Bromma
Lekplats,Lekplats,Carl Larssons Väg,59.3416716,17.8950606,Södra Ängby,Bromma
Bromma Kebab,Restaurang & Snabbmat,Köpsvängen,59.3569646,17.9479992,Mariehäll,Bromma
Lekplats,Lekplats,Bällstavägen,59.360565,17.948583,Mariehäll,Bromma
Lekplats,Lekplats,Adolfsbergsvägen,59.358611,17.954015,Mariehäll,Bromma
Blacken,Lekplats,Grundtvigsgatan,59.3443791,17.8868159,Blackeberg,Bromma
Lekplats,Lekplats,"Åkeshovs eljusspår 1,5 km",59.3439671,17.9261828,Åkeshov,Bromma
Lekplats,Lekplats,Alpvägen,59.3627427,17.9536003,Mariehäll,Bromma
Bubbelparken,Lekplats,Linabergsstigen,59.3620025,17.9535551,Mariehäll,Bromma
Kratsbodaparken,Lekplats,Kratsbodavägen,59.3593326,17.9551604,Mariehäll,Bromma
Lekplats,Lekplats,Fältmarskalksvägen,59.3385488,17.9623984,Ulvsunda,Bromma
Flintsågen,Lekplats,Egilsvägen,59.3453476,17.9154268,Norra Ängby,Bromma
Lekplats,Lekplats,Plommonvägen,59.3600995,17.917102,Eneby,Bromma
Halstret,Lekplats,Anundsvägen,59.3526779,17.8912414,Beckomberga,Bromma
Circle K Råcksta,Bensinmack,Råckstavägen,59.3517426,17.8866268,Råcksta,Bromma
CNG Bromma,Bensinmack,Drottningholmsvägen,59.3377949,17.9343005,Bromma,Bromma
Lekplats,Lekplats,Kyrkoherdevägen,59.3580854,17.9122928,Eneby,Bromma
Lekplats,Lekplats,Västerledstorget,59.3291833,17.9686729,Stora mossen,Bromma
Lekplats,Lekplats,Norlindsvägen,59.3550133,17.9148699,Bromma kyrka,Bromma
Lekplats,Lekplats,Spångavägen,59.3548906,17.9146004,Bromma kyrka,Bromma
Lekplats,Lekplats,Terserusvägen,59.3551456,17.9152635,Bromma kyrka,Bromma
Lekplats,Lekplats,Plåtslagarvägen,59.3361083,17.9512623,Abrahamsberg,Bromma
Lekplats,Lekplats,Gamla Bromstensvägen,59.3658062,17.9319645,Bällsta,Bromma
Lekplats,Lekplats,Gamla Bromstensvägen,59.3658947,17.9315475,Bällsta,Bromma
Lekplats,Lekplats,Ulvsunda Slottsväg,59.3359572,17.9698093,Ulvsunda,Bromma
Daisy's,Restaurang & Snabbmat,Ulvsundavägen,59.3405556,17.9610049,Ulvsunda,Bromma
Lekplats,Lekplats,Tranebergsvägen,59.3350013,17.9892837,Traneberg,Bromma
Lekplats,Lekplats,Porfyrvägen,59.3351875,17.9885794,Traneberg,Bromma
Lekplats,Lekplats,Olovslundsvägen,59.3301379,17.9398654,Olovslund,Bromma
Lekplats,Lekplats,Vidängsvägen,59.3370409,17.9791944,Traneberg,Bromma
Lekplats,Lekplats,Vidängsvägen,59.336901,17.9796752,Traneberg,Bromma
